tgm_type,name,mu,sigma
Planetoid,Cora,-5.006852454204821,14.189076586437233
Planetoid,CiteSeer,-9.362592128491345,88.94000228487934
Planetoid,PubMed,-15.272340310007827,18.594746585125662
AttributedGraphDataset,facebook,3.223647181181321,1.1262962245742423
AttributedGraphDataset,wiki,2.097603917615451,1.020786580595153
LastFMAsia,LastFMAsia,-6.465062754335605,15.81839222410662
Twitch,EN,-3.6945250419957656,13.69945665318667
Twitch,ES,0.7734201174016667,9.270783018373274
Twitch,DE,3.3225960626390196,1.2919653867669998
CitationFull,Cora_ML,-5.383581752366687,14.818723323889776
CitationFull,DBLP,-8.334268189883314,16.784072913566597
Coauthor,CS,0.16469209993503076,8.953565612262091
Coauthor,Physics,2.9970002979352817,0.8711839384365562
GitHub,GitHub,-2.5391640964087356,12.948693373483321
